a2092723.262612
L'Aquila 27/09/2020 23:26:09 27/09/2020 23:26:26 0650 0013.384373 0052.542185 00.0 00.0
0000500 0010 0000000 0010 05 0000000 0000 0000000 0000
1 0 1 16380 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 BT0 "ch1 UV-AIR"
1 2 1 04090 0 0800 3.75 00355.o 0 0 02 000 12 000500 0.500 S2A0 "ch1 UV-AIR"
1 1 1 16380 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 BC0 "ch1 UV-AIR"
1 3 1 04090 0 0800 3.75 00355.o 0 0 00 000 00 000500 3.1746 S2P0 "ch1 UV-AIR"
1 1 1 16380 1 0800 3.75 00386.o 0 0 00 000 00 000500 3.1746 BC1 "ch2 UV-N2"
355.000 .o Analog 0 	355.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	386.000 .o Photon Counting 1 
24.2759	0.0770511	147.76	3.44162	147.52
24.0376	0.0766686	147.68	3.44162	147.6
24.4908	0.0773899	147.84	3.44162	147.92
23.9126	0.0764719	147.68	3.44162	147.6
23.1875	0.0753024	147.36	3.43804	147.92
23.1849	0.0753024	147.36	3.43804	147.84
23.2452	0.0754008	147.36	3.43804	147.68
23.6125	0.075991	147.52	3.43804	147.84
24.0269	0.0766577	147.68	3.44162	147.84
22.9705	0.0749527	147.28	3.43804	147.68
23.0484	0.0750838	147.28	3.43804	147.76
23.4481	0.0757287	147.44	3.43804	147.52
23.1101	0.0751822	147.36	3.43804	147.6
22.643	0.0744172	147.2	3.43446	147.52
23.7585	0.0762314	147.6	3.43804	147.6
22.4532	0.0741002	147.12	3.43446	147.52
22.7665	0.0746139	147.2	3.43446	147.44
23.1162	0.0751931	147.36	3.43804	147.12
22.4606	0.0741111	147.12	3.43446	147.28
22.2647	0.0737942	147.04	3.43446	147.28
23.4667	0.0757615	147.44	3.43804	147.04
22.5177	0.0742095	147.12	3.43446	146.96
22.1372	0.0735756	146.96	3.43088	147.12
23.1189	0.0751931	147.36	3.43804	147.28
22.0503	0.0734335	146.96	3.43088	147.2
22.3585	0.0739472	147.04	3.43446	147.2
22.0918	0.07351	146.96	3.43088	146.72
22.1258	0.0735647	146.96	3.43088	147.28
21.9475	0.0732696	146.88	3.43088	147.04
21.462	0.0724499	146.64	3.4273	147.04
22.3624	0.0739581	147.04	3.43446	146.64
22.4405	0.0740784	147.12	3.43446	146.96
21.5133	0.0725373	146.72	3.43088	146.88
22.4794	0.0741439	147.12	3.43446	146.64
21.8349	0.0730729	146.88	3.43088	146.64
21.1597	0.0719362	146.56	3.4273	146.56
21.578	0.0726466	146.8	3.43088	146.8
21.1199	0.0718707	146.56	3.4273	146.88
21.4435	0.0724171	146.72	3.43088	146.64
21.5766	0.0726466	146.72	3.43088	146.48
21.5011	0.0725155	146.72	3.43088	146.24
20.9805	0.0716302	146.48	3.4273	146.56
21.6667	0.0727996	146.8	3.43088	146.48
20.9255	0.0715428	146.48	3.4273	146.24
20.2134	0.0703078	146.16	3.42372	146.72
21.2303	0.0720564	146.56	3.4273	146.24
21.3057	0.0721876	146.64	3.4273	146.56
20.1846	0.0702641	146.16	3.42372	146.24
20.0601	0.0700455	146.08	3.42372	146.24
20.6125	0.0709963	146.32	3.42372	146.48
20.1514	0.0701985	146.08	3.42372	146
20.3832	0.0706029	146.24	3.42372	146.24
20.7504	0.0712368	146.4	3.4273	146.24
19.5521	0.0691493	145.76	3.41655	146.4
19.9746	0.0698925	146	3.42013	146
19.905	0.0697722	146	3.42013	146
19.642	0.0693132	145.84	3.42013	146.08
19.8381	0.069652	145.92	3.42013	145.92
19.4347	0.0689416	145.76	3.41655	146.16
20.0737	0.0700673	146.08	3.42372	146.24
19.895	0.0697504	146	3.42013	145.92
20.104	0.070122	146.08	3.42372	145.76
19.8193	0.0696192	145.92	3.42013	145.68
19.0249	0.0682094	145.52	3.41655	145.68
19.4999	0.0690618	145.76	3.41655	145.52
19.843	0.0696629	145.92	3.42013	145.68
19.7683	0.0695318	145.92	3.42013	145.52
19.5016	0.0690618	145.76	3.41655	145.6
19.6274	0.0692804	145.84	3.42013	145.28
19.1292	0.0683952	145.52	3.41655	145.44
18.5775	0.0674006	145.2	3.41297	145.6
19.0921	0.0683296	145.52	3.41655	145.2
18.6083	0.0674662	145.28	3.41297	145.12
18.2882	0.066876	145.04	3.40939	145.44
19.2176	0.0685591	145.6	3.41655	145.28
19.1368	0.068417	145.6	3.41655	144.96
18.7453	0.0677066	145.36	3.41297	145.28
18.6864	0.0676083	145.36	3.41297	144.88
18.6278	0.067499	145.28	3.41297	144.8
18.2899	0.0668869	145.12	3.40939	145.2
18.8823	0.067958	145.44	3.41297	145.04
18.3153	0.0669306	145.12	3.40939	145.04
17.8938	0.0661547	144.88	3.40581	144.64
18.5678	0.0673897	145.28	3.41297	144.96
18.4442	0.0671602	145.2	3.41297	145.12
17.2596	0.0649743	144.48	3.40223	144.56
18.4154	0.0671055	145.2	3.41297	145.04
18.2923	0.0668869	145.12	3.40939	145.04
18.0403	0.0664279	144.96	3.40939	144.56
17.8659	0.0661	144.8	3.40581	144.56
17.642	0.0656847	144.72	3.40581	144.32
17.9431	0.0662421	144.88	3.40581	144.8
17.232	0.0649197	144.4	3.40223	144.56
16.8413	0.0641765	144.16	3.39865	144.08
17.7521	0.0658924	144.8	3.40581	144.4
16.8918	0.0642748	144.16	3.39865	144.64
17.2459	0.0649415	144.48	3.40223	144.72
16.5436	0.0636081	143.92	3.39506	144.48
16.8225	0.0641437	144.16	3.39865	144
16.5998	0.0637174	144	3.39865	144.4
16.9871	0.0644606	144.24	3.40223	144.48
