a2262915.371660
LAquila  29/06/2022 15:37:11 29/06/2022 15:37:16 0000 0000.000000 0000.000000 00.0 00.0
0000166 0010 0000000 0010 06 0000000 0010 0000000 0010
1 1 1 16380 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 BC0 "green"
1 3 1 02000 1 0900 3.75 00532.o 0 0 00 000 00 000166 3.1746 S2P0 "green"
1 0 1 16380 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 BT1 "IR"
1 2 1 02000 2 0900 3.75 01064.p 0 0 02 000 12 000166 0.500 S2A1 "IR"
1 1 1 16380 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 BC1 "UV"
1 3 1 02000 2 0900 3.75 00355.s 0 0 00 000 00 000166 3.1746 S2P1 "UV"
532.000 .o Photon Counting 0 	532.000 .o PC StDev 0 	1064.000 .p Analog 1 	1064.000 .p Analog StDev 1 	355.000 .s Photon Counting 1 	355.000 .s PC StDev 1 
148.193	5.98412	27.5924	0.219889	148.675	6.00288
148.675	6.00288	25.452	0.206436	148.193	5.98412
148.434	6.00288	26.8047	0.214966	148.675	6.00288
148.434	6.00288	25.9588	0.209642	148.434	6.00288
148.675	6.00288	25.7234	0.208154	148.434	6.00288
148.916	6.00288	26.2707	0.211588	148.434	6.00288
148.675	6.00288	26.951	0.215882	148.675	6.00288
148.434	6.00288	25.6087	0.207409	148.193	5.98412
148.193	5.98412	27.1452	0.217084	148.675	6.00288
148.916	6.00288	25.6697	0.20781	148.193	5.98412
148.675	6.00288	27.8469	0.221492	148.916	6.00288
148.193	5.98412	27.4306	0.218916	148.916	6.00288
148.916	6.00288	26.6929	0.214222	148.675	6.00288
148.916	6.00288	27.0489	0.216512	148.675	6.00288
148.193	5.98412	25.555	0.207066	148.193	5.98412
148.675	6.00288	26.6384	0.213878	148.675	6.00288
148.434	6.00288	25.6307	0.207524	148.193	5.98412
148.434	6.00288	25.8021	0.208612	148.193	5.98412
148.675	6.00288	27.6417	0.220233	148.916	6.00288
148.916	6.00288	26.4229	0.212562	148.434	6.00288
148.675	6.00288	26.6649	0.21405	148.675	6.00288
148.675	6.00288	26.1706	0.210959	148.434	6.00288
148.675	6.00288	25.8565	0.208955	148.434	6.00288
148.434	6.00288	25.8911	0.209184	148.193	5.98412
