a2231016.115556
LAquila  10/03/2022 16:11:30 10/03/2022 16:11:55 0000 0000.000000 0000.000000 00.0 00.0
0002001 0100 0000000 0000 06 0000000 0000 0000000 0000
1 0 1 16380 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 BT0 "IR-Channel"
1 2 1 02000 0 0400 3.75 01064.o 0 0 01 000 16 002001 0.500 S2A0 "IR-Channel"
1 1 1 16380 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 BC0 "AIR-UV"
1 3 1 02000 1 0850 3.75 00355.o 0 0 00 000 00 002001 3.1746 S2P0 "AIR-UV"
1 1 1 00010 0 0810 3.75 00387.o 0 0 00 000 00 002001 3.1746 BC1 "N2-UV"
1 1 1 00010 1 0900 0015 00386.p 0 0 00 000 00 002001 3.1746 BC2 "N2-UV"
1064.000 .o Analog 0 	1064.000 .o Analog StDev 0 	355.000 .o Photon Counting 0 	355.000 .o PC StDev 0 	387.000 .o Photon Counting 1 	386.000 .p Photon Counting 2 
5.47714	0.000584093	0	0	0	0
5.47741	0.000584178	0	0	0	0
5.47702	0.000584519	0	0	0	0
5.4767	0.000582899	0	0	0	0
5.47815	0.000585201	0	0	0	0
5.47804	0.000568832	0	0	0	0
5.47774	0.000581791	0	0	0	0
5.47827	0.000583496	0	0	0	0
5.47815	0.000576846	0	0	0	0
5.4776	0.000590061	0	0	0	0
5.47943	0.000566274	0	0	0	0
5.47956	0.00057318	0	0	0	0
5.47882	0.000591937	0	0	0	0
5.47769	0.000574374	0	0	0	0
5.4764	0.000587503	0	0	0	0
5.47638	0.000588867	0	0	0	0
5.47742	0.000575397	0	0	0	0
5.47738	0.000570026	0	0	0	0
5.47838	0.000573692	0	0	0	0
5.47813	0.000587759	0	0	0	0
5.47856	0.000600718	0	0	0	0
5.47672	0.000576164	0	0	0	0
5.47621	0.000582388	0	0	0	0
5.47813	0.000581194	0	0	0	0
5.47927	0.000573606	0	0	0	0
5.47891	0.000566956	0	0	0	0
5.47904	0.000580342	0	0	0	0
5.47795	0.000582388	0	0	0	0
5.47846	0.000578125	0	0	0	0
5.47737	0.000575312	0	0	0	0
5.4775	0.000568747	0	0	0	0
5.47812	0.000587077	0	0	0	0
5.47815	0.000568832	0	0	0	0
5.47836	0.000582473	0	0	0	0
5.47795	0.000584093	0	0	0	0
5.47697	0.000570963	0	0	0	0
5.47749	0.000586992	0	0	0	0
5.47766	0.000567468	0	0	0	0
5.47808	0.000588441	0	0	0	0
5.47646	0.000583581	0	0	0	0
5.4771	0.000572157	0	0	0	0
5.4777	0.000577613	0	0	0	0
5.47785	0.000590999	0	0	0	0
5.47803	0.000573947	0	0	0	0
5.47856	0.000569855	0	0	0	0
5.47939	0.000574715	0	0	0	0
5.47828	0.000578125	0	0	0	0
5.47791	0.000547688	0	0	0	0
5.47866	0.000578807	0	0	0	0
5.47841	0.000587929	0	0	0	0
5.47813	0.000577102	0	0	0	0
5.47854	0.000572072	0	0	0	0
5.4779	0.000583581	0	0	0	0
5.47761	0.000594921	0	0	0	0
5.47759	0.000584008	0	0	0	0
5.47785	0.000568406	0	0	0	0
5.47898	0.000577187	0	0	0	0
5.47889	0.000577613	0	0	0	0
5.47716	0.000577272	0	0	0	0
5.47751	0.000583326	0	0	0	0
5.4775	0.000575226	0	0	0	0
5.4781	0.000581024	0	0	0	0
5.47876	0.000588697	0	0	0	0
5.47829	0.00058648	0	0	0	0
5.47778	0.000596285	0	0	0	0
5.47826	0.000579233	0	0	0	0
5.4773	0.00055971	0	0	0	0
5.47763	0.000584178	0	0	0	0
5.47822	0.000578637	0	0	0	0
5.47764	0.000563631	0	0	0	0
5.47842	0.000556811	0	0	0	0
5.47784	0.000576676	0	0	0	0
5.47779	0.000573862	0	0	0	0
5.47823	0.000584263	0	0	0	0
5.47793	0.000596114	0	0	0	0
5.47879	0.000582985	0	0	0	0
5.47848	0.000575226	0	0	0	0
5.47854	0.000587588	0	0	0	0
5.47813	0.000590146	0	0	0	0
5.47795	0.000585031	0	0	0	0
5.47808	0.000576164	0	0	0	0
5.47835	0.000570452	0	0	0	0
5.479	0.00058469	0	0	0	0
5.47774	0.000578466	0	0	0	0
5.47714	0.000567809	0	0	0	0
5.47825	0.000571304	0	0	0	0
5.47844	0.00058648	0	0	0	0
5.4776	0.000574033	0	0	0	0
5.47667	0.000581535	0	0	0	0
5.47787	0.000581791	0	0	0	0
5.47834	0.00057821	0	0	0	0
5.47794	0.000598757	0	0	0	0
5.4777	0.000583837	0	0	0	0
5.47815	0.000594068	0	0	0	0
5.47775	0.00058307	0	0	0	0
5.47797	0.00058145	0	0	0	0
5.47877	0.000590317	0	0	0	0
5.47786	0.000584434	0	0	0	0
5.47764	0.0005881	0	0	0	0
5.47808	0.000580086	0	0	0	0
5.47871	0.000573436	0	0	0	0
5.47898	0.000559283	0	0	0	0
5.47838	0.000575056	0	0	0	0
5.47777	0.000590913	0	0	0	0
5.47871	0.000591681	0	0	0	0
5.47917	0.00058469	0	0	0	0
5.4787	0.000592192	0	0	0	0
5.4781	0.000584178	0	0	0	0
5.47852	0.000580853	0	0	0	0
5.47794	0.000575397	0	0	0	0
5.4771	0.000586906	0	0	0	0
5.47758	0.000579148	0	0	0	0
5.47788	0.000571816	0	0	0	0
5.47897	0.000572498	0	0	0	0
5.47824	0.000588697	0	0	0	0
5.47874	0.000572839	0	0	0	0
5.47919	0.000577784	0	0	0	0
5.47832	0.000588782	0	0	0	0
5.47785	0.000580256	0	0	0	0
5.47843	0.000593897	0	0	0	0
5.47689	0.000573777	0	0	0	0
5.4769	0.000595773	0	0	0	0
5.47849	0.000593045	0	0	0	0
5.47808	0.000563461	0	0	0	0
5.47763	0.000580427	0	0	0	0
5.47832	0.000588697	0	0	0	0
5.47774	0.000575482	0	0	0	0
5.47771	0.000568235	0	0	0	0
5.47831	0.000583411	0	0	0	0
5.47902	0.000588867	0	0	0	0
